,error,category
0,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8000: bind: address already in use.,0
1,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8001: bind: address already in use.,0
2,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8002: bind: address already in use.,0
3,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8003: bind: address already in use.,0
4,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8004: bind: address already in use.,0
5,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8005: bind: address already in use.,0
6,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8006: bind: address already in use.,0
7,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8007: bind: address already in use.,0
8,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8008: bind: address already in use.,0
9,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8009: bind: address already in use.,0
10,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8010: bind: address already in use.,0
11,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8011: bind: address already in use.,0
12,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8012: bind: address already in use.,0
13,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8013: bind: address already in use.,0
14,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8014: bind: address already in use.,0
15,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8015: bind: address already in use.,0
16,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8016: bind: address already in use.,0
17,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8017: bind: address already in use.,0
18,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8018: bind: address already in use.,0
19,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8019: bind: address already in use.,0
20,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8020: bind: address already in use.,0
21,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8021: bind: address already in use.,0
22,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8022: bind: address already in use.,0
23,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8023: bind: address already in use.,0
24,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8024: bind: address already in use.,0
25,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8025: bind: address already in use.,0
26,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8026: bind: address already in use.,0
27,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8027: bind: address already in use.,0
28,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8028: bind: address already in use.,0
29,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8029: bind: address already in use.,0
30,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8030: bind: address already in use.,0
31,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8031: bind: address already in use.,0
32,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8032: bind: address already in use.,0
33,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8033: bind: address already in use.,0
34,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8034: bind: address already in use.,0
35,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8035: bind: address already in use.,0
36,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8036: bind: address already in use.,0
37,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8037: bind: address already in use.,0
38,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8038: bind: address already in use.,0
39,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8039: bind: address already in use.,0
40,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8040: bind: address already in use.,0
41,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8041: bind: address already in use.,0
42,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8042: bind: address already in use.,0
43,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8043: bind: address already in use.,0
44,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8044: bind: address already in use.,0
45,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8045: bind: address already in use.,0
46,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8046: bind: address already in use.,0
47,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8047: bind: address already in use.,0
48,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8048: bind: address already in use.,0
49,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8049: bind: address already in use.,0
50,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8050: bind: address already in use.,0
51,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8051: bind: address already in use.,0
52,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8052: bind: address already in use.,0
53,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8053: bind: address already in use.,0
54,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8054: bind: address already in use.,0
55,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8055: bind: address already in use.,0
56,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8056: bind: address already in use.,0
57,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8057: bind: address already in use.,0
58,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8058: bind: address already in use.,0
59,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8059: bind: address already in use.,0
60,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8060: bind: address already in use.,0
61,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8061: bind: address already in use.,0
62,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8062: bind: address already in use.,0
63,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8063: bind: address already in use.,0
64,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8064: bind: address already in use.,0
65,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8065: bind: address already in use.,0
66,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8066: bind: address already in use.,0
67,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8067: bind: address already in use.,0
68,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8068: bind: address already in use.,0
69,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8069: bind: address already in use.,0
70,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8070: bind: address already in use.,0
71,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8071: bind: address already in use.,0
72,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8072: bind: address already in use.,0
73,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8073: bind: address already in use.,0
74,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8074: bind: address already in use.,0
75,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8075: bind: address already in use.,0
76,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8076: bind: address already in use.,0
77,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8077: bind: address already in use.,0
78,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8078: bind: address already in use.,0
79,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8079: bind: address already in use.,0
80,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8080: bind: address already in use.,0
81,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8000 failed to start,0
82,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8001 failed to start,0
83,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8002 failed to start,0
84,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8003 failed to start,0
85,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8004 failed to start,0
86,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8005 failed to start,0
87,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8006 failed to start,0
88,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8007 failed to start,0
89,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8008 failed to start,0
90,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8009 failed to start,0
91,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8010 failed to start,0
92,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8011 failed to start,0
93,[ERROR] Failed to execute goal org.springframework.boot:spring-boot-maven-plugin:2.1.1.RELEASE:run (default-cli) on project boot-camp-delivery: An exception occurred while running. null: InvocationTargetException: Connector configured to listen on port 8012 failed to start,0
